               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091087,            0.027193,            0.056232,          0.00010785,             0.10859,          0.00010635,          2.8806e-05,            0.053907,            0.017707,            0.049165,            0.070857,           0.0032381,           0.0032381
                   1,            0.074756,            0.023661,            0.055212,                   0,                   0,                   0,                   0,            0.051076,            0.015789,            0.049044,            0.040792,           0.0065064,           0.0065064
                   2,            0.073714,            0.023586,            0.054275,                   0,                   0,                   0,                   0,            0.050042,            0.014839,            0.048651,            0.010661,           0.0097086,           0.0097086
                   3,            0.071364,            0.023036,            0.051874,           0.0019001,             0.37556,            0.022866,           0.0058832,            0.052955,             0.01338,            0.049615,            0.009703,            0.009703,            0.009703
                   4,            0.070138,            0.023108,            0.050357,             0.72487,            0.040816,            0.038746,           0.0092281,            0.046673,            0.013128,            0.047358,            0.009703,            0.009703,            0.009703
                   5,            0.064574,            0.022608,            0.047799,             0.74303,              0.1362,            0.074799,            0.017999,            0.050056,            0.015015,            0.044002,            0.009604,            0.009604,            0.009604
                   6,            0.063072,            0.021646,            0.046957,             0.55557,             0.22138,             0.15381,            0.070066,            0.042338,            0.014541,            0.038166,            0.009505,            0.009505,            0.009505
                   7,            0.059424,             0.02105,            0.043799,             0.32871,             0.22424,              0.1469,             0.06451,            0.047594,            0.012186,            0.035766,            0.009406,            0.009406,            0.009406
                   8,            0.059389,             0.01944,            0.043033,             0.31201,             0.42549,             0.31746,             0.15229,            0.038592,            0.010422,            0.033022,            0.009307,            0.009307,            0.009307
                   9,            0.057079,            0.018401,             0.04055,             0.71715,             0.12693,             0.12169,            0.049628,            0.051225,            0.020368,            0.044369,            0.009208,            0.009208,            0.009208
                  10,            0.054708,            0.018338,            0.040425,             0.41723,             0.48377,               0.481,             0.20816,            0.038087,           0.0097488,            0.028669,            0.009109,            0.009109,            0.009109
                  11,            0.053397,            0.017018,            0.038056,             0.34501,             0.32479,             0.28535,             0.13559,            0.043449,           0.0099631,            0.045822,             0.00901,             0.00901,             0.00901
                  12,            0.050559,            0.016275,            0.035062,             0.51244,             0.54177,             0.58458,             0.29854,            0.035781,           0.0089172,             0.02588,            0.008911,            0.008911,            0.008911
                  13,             0.04922,            0.015749,            0.034714,             0.59903,             0.60263,             0.65136,             0.37089,            0.032601,           0.0080441,            0.021874,            0.008812,            0.008812,            0.008812
                  14,            0.048285,            0.014842,            0.032328,             0.56593,             0.58678,             0.61069,             0.31465,            0.040273,           0.0083099,            0.023936,            0.008713,            0.008713,            0.008713
                  15,            0.045132,            0.014368,             0.03147,             0.66811,              0.6612,             0.70424,             0.39306,            0.033509,           0.0068362,            0.023111,            0.008614,            0.008614,            0.008614
                  16,            0.043784,            0.014557,            0.031658,             0.62471,             0.70417,             0.72072,             0.44997,            0.031011,           0.0059115,            0.023193,            0.008515,            0.008515,            0.008515
                  17,              0.0425,             0.01394,            0.030243,             0.57498,              0.4382,             0.50604,             0.18953,            0.045772,           0.0098013,            0.027518,            0.008416,            0.008416,            0.008416
                  18,            0.042333,            0.014124,            0.030237,             0.75858,             0.80601,             0.80796,             0.49938,            0.030436,           0.0054521,            0.016876,            0.008317,            0.008317,            0.008317
                  19,            0.041235,            0.012926,            0.029341,             0.68314,             0.83192,             0.79044,              0.5031,            0.028078,           0.0055128,            0.018978,            0.008218,            0.008218,            0.008218
