               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  20,            0.039649,            0.013519,            0.027976,             0.46148,             0.63478,              0.6185,             0.38348,            0.023974,           0.0059851,            0.032647,            0.008119,            0.008119,            0.008119
                  21,            0.037625,            0.012765,             0.02647,             0.67358,             0.73171,             0.75491,             0.49257,            0.027069,            0.006095,            0.018469,             0.00802,             0.00802,             0.00802
                  22,            0.038874,            0.012938,             0.02633,             0.75188,             0.71099,             0.80512,             0.57991,            0.022969,            0.005685,            0.019748,            0.007921,            0.007921,            0.007921
                  23,            0.036962,            0.012406,            0.025306,             0.70987,             0.73717,             0.76709,             0.51803,            0.029191,           0.0055522,            0.020174,            0.007822,            0.007822,            0.007822
                  24,            0.036872,            0.012026,            0.025335,             0.74936,             0.81946,             0.84335,             0.58187,            0.023191,           0.0047952,            0.013889,            0.007723,            0.007723,            0.007723
                  25,            0.036439,            0.011807,            0.025259,             0.77767,             0.83967,             0.85354,             0.61937,            0.024731,           0.0043502,            0.012726,            0.007624,            0.007624,            0.007624
                  26,            0.035325,            0.011705,            0.025173,             0.72867,             0.86903,             0.84747,              0.5702,            0.021817,           0.0043741,            0.012966,            0.007525,            0.007525,            0.007525
                  27,             0.03491,            0.011605,            0.023097,             0.72237,             0.87536,             0.84333,             0.59195,            0.023816,           0.0049582,            0.012576,            0.007426,            0.007426,            0.007426
                  28,            0.033124,            0.011531,            0.024786,             0.69488,             0.79956,             0.81491,             0.58773,             0.02446,           0.0048598,            0.014808,            0.007327,            0.007327,            0.007327
                  29,            0.032372,             0.01134,             0.02418,             0.77079,             0.71356,             0.78833,             0.58007,             0.02477,           0.0053841,            0.017042,            0.007228,            0.007228,            0.007228
                  30,            0.033399,            0.011409,            0.023805,             0.76473,             0.89211,             0.89148,             0.66159,            0.019706,           0.0041476,            0.013523,            0.007129,            0.007129,            0.007129
                  31,            0.032903,            0.011492,            0.024255,              0.7896,             0.84959,             0.85631,             0.60443,            0.021975,           0.0040971,            0.010402,             0.00703,             0.00703,             0.00703
                  32,            0.033046,            0.010977,            0.023271,             0.80014,             0.72887,             0.82304,             0.57616,            0.020391,           0.0043165,            0.015027,            0.006931,            0.006931,            0.006931
                  33,            0.031782,            0.010989,            0.022667,             0.78756,              0.7403,             0.85001,              0.6684,            0.019945,           0.0037837,            0.021956,            0.006832,            0.006832,            0.006832
