               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  70,            0.023891,           0.0084507,            0.013768,             0.89463,             0.94142,             0.95563,             0.80946,            0.012689,            0.002692,           0.0056229,            0.003169,            0.003169,            0.003169
                  71,            0.023342,           0.0084111,            0.013771,             0.85815,             0.92058,              0.9049,             0.78698,            0.013799,           0.0027104,            0.010168,             0.00307,             0.00307,             0.00307
                  72,            0.022867,           0.0088628,            0.012248,             0.88587,             0.95354,             0.96025,             0.84293,            0.012901,           0.0028457,           0.0057398,            0.002971,            0.002971,            0.002971
                  73,            0.023459,           0.0084254,            0.012272,             0.95584,             0.95253,             0.98652,             0.85373,            0.012141,           0.0027498,            0.004315,            0.002872,            0.002872,            0.002872
                  74,             0.02231,           0.0085353,            0.012193,             0.93758,             0.97308,             0.97943,             0.85094,            0.011764,           0.0026017,           0.0031609,            0.002773,            0.002773,            0.002773
                  75,            0.022962,           0.0085096,            0.012065,             0.96567,             0.95555,             0.97594,             0.86599,            0.010139,           0.0025744,           0.0030664,            0.002674,            0.002674,            0.002674
                  76,            0.023054,           0.0084773,            0.011501,             0.93867,             0.96867,             0.98136,             0.86888,            0.012723,            0.002731,           0.0032328,            0.002575,            0.002575,            0.002575
                  77,            0.022814,           0.0084932,            0.011833,             0.95452,             0.95861,              0.9767,             0.86298,             0.01177,           0.0025568,            0.002601,            0.002476,            0.002476,            0.002476
                  78,            0.022005,           0.0085576,            0.011703,             0.91465,             0.95913,             0.97242,             0.85761,             0.01163,           0.0026289,           0.0028829,            0.002377,            0.002377,            0.002377
                  79,            0.021707,           0.0082931,            0.012093,             0.94695,             0.93698,             0.96646,             0.82622,            0.013145,           0.0027931,           0.0031543,            0.002278,            0.002278,            0.002278
                  80,            0.021723,           0.0081444,            0.010899,             0.96627,              0.9601,             0.98057,             0.87068,            0.012199,           0.0026197,           0.0058967,            0.002179,            0.002179,            0.002179
                  81,            0.021893,           0.0081917,            0.012506,             0.96804,             0.96861,             0.97905,             0.87753,            0.012011,           0.0024467,           0.0023935,             0.00208,             0.00208,             0.00208
                  82,            0.021665,           0.0084088,            0.011695,             0.88271,             0.95134,             0.95737,             0.84847,            0.012032,           0.0025641,           0.0066549,            0.001981,            0.001981,            0.001981
                  83,            0.021688,           0.0082759,             0.01076,             0.94158,             0.95397,             0.96936,             0.86921,            0.013275,           0.0025689,           0.0038553,            0.001882,            0.001882,            0.001882
                  84,            0.021783,           0.0082684,            0.010866,             0.94612,             0.93605,             0.97375,             0.86694,           0.0099861,           0.0024465,            0.003251,            0.001783,            0.001783,            0.001783
                  85,            0.020594,            0.007987,            0.010748,             0.92652,             0.96629,             0.97136,             0.86707,            0.010895,           0.0025946,           0.0050946,            0.001684,            0.001684,            0.001684
                  86,            0.020823,           0.0080375,            0.010894,             0.93015,             0.96737,             0.97368,             0.87163,            0.010952,           0.0024957,           0.0040363,            0.001585,            0.001585,            0.001585
                  87,            0.020323,           0.0079052,            0.009466,               0.974,             0.97484,             0.98656,              0.8808,            0.010035,           0.0024886,           0.0021293,            0.001486,            0.001486,            0.001486
                  88,            0.019432,           0.0081135,           0.0097239,             0.96503,             0.98437,             0.98692,             0.87598,             0.01042,           0.0024683,           0.0027214,            0.001387,            0.001387,            0.001387
                  89,             0.01992,           0.0079618,            0.010205,             0.97727,             0.95478,             0.98096,             0.88512,            0.010098,           0.0023699,           0.0025475,            0.001288,            0.001288,            0.001288
                  90,            0.021358,           0.0077846,           0.0098299,             0.97128,             0.97604,             0.98679,             0.89978,            0.010858,           0.0024116,           0.0019256,            0.001189,            0.001189,            0.001189
                  91,            0.020831,           0.0076716,            0.010495,             0.92964,              0.9704,             0.97395,             0.88851,           0.0098246,           0.0024322,           0.0037638,             0.00109,             0.00109,             0.00109
                  92,             0.01904,           0.0077617,           0.0084044,             0.96699,             0.96935,             0.98321,             0.89414,            0.009249,            0.002398,           0.0023476,            0.000991,            0.000991,            0.000991
                  93,            0.019641,           0.0077612,           0.0089782,             0.97019,             0.94997,             0.97872,             0.88981,           0.0097204,           0.0024136,           0.0024841,            0.000892,            0.000892,            0.000892
                  94,            0.019943,           0.0076743,           0.0091273,             0.97977,             0.97532,             0.98981,             0.89862,           0.0098376,           0.0024112,           0.0013196,            0.000793,            0.000793,            0.000793
                  95,            0.019746,           0.0078803,           0.0096081,             0.94247,             0.97335,              0.9782,             0.88089,            0.010095,           0.0023364,           0.0040035,            0.000694,            0.000694,            0.000694
                  96,            0.018508,           0.0077194,           0.0085577,             0.96299,             0.98154,             0.98815,             0.90302,           0.0097667,           0.0023819,           0.0029157,            0.000595,            0.000595,            0.000595
                  97,            0.019813,           0.0078233,           0.0092627,              0.9787,             0.98442,             0.98749,             0.89931,           0.0098766,           0.0023451,           0.0017334,            0.000496,            0.000496,            0.000496
                  98,            0.018923,           0.0076682,           0.0086739,              0.9689,             0.97328,             0.98226,             0.89668,           0.0090709,           0.0023062,           0.0025201,            0.000397,            0.000397,            0.000397
                  99,            0.018501,            0.007425,           0.0083557,             0.97733,             0.97817,             0.98878,             0.90557,           0.0094369,           0.0022854,           0.0018115,            0.000298,            0.000298,            0.000298
